,model_name,model_path
0,Llama3-70b-inst,meta-llama/Meta-Llama-3-70B-Instruct
1,Llama3-8b-inst,meta-llama/Meta-Llama-3-8B-Instruct
2,Mixtral-8x22b-inst,mistralai/Mixtral-8x22B-Instruct-v0.1
3,Mixtral-8x7b-DPO-inst,NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO
4,Mistral-v1-7b-inst,mistralai/Mistral-7B-Instruct-v0.1
5,Mistral-v2-7b-inst,mistralai/Mistral-7B-Instruct-v0.2
6,Llama2-70b-inst,meta-llama/Llama-2-70b-chat
7,Llama2-7b-inst,meta-llama/Llama-2-7b-chat
8,Gemma-1.1-7b-inst,google/gemma-1.1-7b-it
